company,rank,revenue,profit,num. of employees,Market Cap
Genworth Financial,434,7882,904,2500,1917.9
Bath & Body Works,435,7881.5,1333.5,32850,11419.9
Booz Allen Hamilton Holding,436,7858.9,609,27700,11705.4
Coinbase Global,437,7839.4,3624.1,3730,41670.4
Zimmer Biomet Holdings,438,7836.2,401.6,19500,26772.3
Westinghouse Air Brake Technologies,439,7822,558,25000,17819.4
Zoetis,440,7776,2037,12100,69420
Packaging Corp. of America,441,7730.3,841.1,15200,14628.1
LPL Financial Holdings,442,7720.8,459.9,5919,14608.8
T. Rowe Price,443,7671.9,3082.9,7529,34442.6
Fortune Brands Home & Security,444,7656.1,772.4,28056,9830.7
Casey's General Stores,445,7654.2,312.9,27583,7354.4
A-Mark Precious Metals,446,7613,159.6,347,890.5
Hess,447,7583,559,1545,33155.2
Vertex Pharmaceuticals,448,7574.4,2342.1,3900,66436.9
KeyCorp,449,7561,2625,16974,20592.5
Chipotle,450,7547.1,653,97660,41724
CMS Energy,451,7538,1353,8813,20292.2
Arconic,452,7504,-397,13900,2690.7
Taylor Morrison Home,453,7501.3,663,3000,3301.6
American Financial Group,454,7462,1995,6600,12367.8
UGI,455,7447,1467,11300,7599.1
Science Applications International,456,7394,277,25090,5166.1
Avantor,457,7386.1,572.6,13500,20629.1
Hanesbrands,458,7347.8,77.2,58000,5191.4
Clorox,459,7341,710,9000,17108.7
KBR,460,7339,18,28000,7634.9
TravelCenters of America,461,7336.8,58.5,16540,637.5
Hertz Global Holdings,462,7336,366,23000,9508.9
Analog Devices,463,7318.3,1390.4,24700,86441.2
Securian Financial Group,464,7317.4,311.5,6941,
Darden Restaurants,465,7196.1,629.3,156883,16980.9
NCR,466,7156,97,38000,5474.7
Graphic Packaging Holding,466,7156,204,25000,6154.4
Brighthouse Financial,468,7142,-108,1500,3958.7
PPL,469,7127,-1480,5607,21001.9
Cintas,470,7116.3,1111,40000,43566.7
Xerox Holdings,471,7038,-455,23300,3123.3
Rockwell Automation,472,6997.4,1358.1,24500,32538.4
Citizens Financial Group,473,6986,2319,17463,19135.7
KLA,474,6918.7,2078.3,11425,55170.9
Camping World Holdings,475,6913.8,278.5,12834,2664.6
Ingredion,476,6894,117,12000,5814.2
Veritiv,477,6850.5,144.6,6100,2008
Beacon Roofing Supply,478,6820.4,243,6676,4175.9
Diamondback Energy,479,6797,2182,870,24320
Victoria's Secret,480,6784.6,646.4,24000,4330.4
Academy Sports and Outdoors,481,6773.1,671.4,16508,3433.5
Sanmina,482,6756.6,269,33500,2569
ON Semiconductor,483,6739.8,1009.6,31650,27078.7
Commercial Metals,484,6729.8,412.9,11089,5056.7
EnLink Midstream,485,6685.9,22.4,1073,4670.6
Southwestern Energy,486,6667,-25,938,7989.7
Equinix,487,6635.5,500.2,10944,67280.5
Dillard&#8217;s,488,6624.3,862.5,25350,4928.2
Regions Financial,489,6605,2521,19626,20860.9
Yum Brands,490,6584,1575,25650,34252.9
Landstar System,491,6540.4,381.5,1399,5600
CF Industries Holdings,492,6538.3,917.1,3003,21551.3
Northern Trust,493,6488.3,1545.3,21100,24215.1
Robert Half International,494,6461.4,598.6,14600,12638.1
Compass,495,6421,-494.1,4775,3358.8
Hasbro,496,6420.4,428.7,6640,11383.6
Roper Technologies,497,6415.8,1152.6,19300,49868.8
ARKO,498,6412.6,59.2,11236,1133.9
Frontier Communications,499,6411,,15640,6763.1
Ameren,500,6394,990,9116,24198.7
O-I Glass,501,6357,149,24000,2058
Chemours,502,6345,608,6400,5015
Crown Castle International,503,6340,1096,5000,79937.3
Agilent Technologies,504,6319,1210,17000,39714
McCormick,505,6317.9,755.3,14000,19156
Skechers U.S.A.,506,6310.2,741.5,8950,6360.4
Watsco,507,6280.2,418.9,6875,11842.6
Live Nation Entertainment,508,6268.4,-650.9,16200,26425
Lululemon athletica,509,6256.6,975.3,29000,46717.8
ABM Industries,510,6228.6,126.3,124000,3078.7
Post Holdings,511,6226.7,166.7,10735,4284.4
Moody's,512,6218,2214,13460,62548.1
Select Medical Holdings,513,6204.5,402.2,43200,3208.6
Alaska Air Group,514,6176,478,21691,7314.3
Big Lots,515,6150.6,177.8,23350,988.1
Amkor Technology,516,6138.3,643,30400,5313
Sinclair Broadcast Group,517,6134,-414,11500,2008.1
RPM International,518,6106.3,502.6,15490,10560.8
M&T Bank,519,6105.8,1858.7,17342,21875
Sprouts Farmers Market,520,6099.9,244.2,31000,3546.8
Huntington Bancshares,521,6080,1295,18442,21123.4
CACI International,522,6044.1,457.4,22000,7051.2
JetBlue Airways,523,6037,-182,17459,4786.9
SVB Financial Group,524,6027,1833,6567,32901
Fastenal,525,6010.9,925,18370,34187.9
GameStop,526,6010.7,-381.3,22500,12716.6
Knight-Swift Transportation Holdings,527,5998,743.4,27650,8386
Airbnb,528,5991.8,-352,6132,110419.9
Patterson,529,5912.1,156,7800,3160
PENN Entertainment,530,5905,420.8,21973,7140.2
ServiceNow,531,5896,230,16881,70419
Nasdaq,532,5886,1187,5814,29298.2
Brunswick,533,5846.2,593.3,18582,6197.3
Resideo Technologies,534,5846,242,13300,3455.8
Chesapeake Energy,535,5809,,1300,11135.9
Petco Health and Wellness,536,5807.1,164.4,28495,5930.2
Kemper,537,5793,-120.5,10300,3606
Hilton Worldwide Holdings,538,5788,410,142000,42356.6
Cerner,539,5764.8,555.6,25150,27492.2
Levi Strauss,540,5763.9,553.5,16600,5740
Tapestry,541,5746.3,834.2,14250,9807.2
NetApp,542,5744,730,11000,18470.5
KB Home,543,5724.9,564.7,2244,2858.1
Continental Resources,544,5719.3,1661,1254,22342.4
Intuitive Surgical,545,5710.1,1704.6,9793,108361.9
Under Armour,546,5683.5,360.1,12300,7712.4
MDU Resources Group,547,5680.7,378.1,12826,5419.3
Silgan Holdings,548,5677.1,359.1,15720,5104.3
Ryerson Holding,549,5675.3,294.3,4000,1344.6
Ingersoll Rand,550,5655.2,562.5,16000,20541.2
Hologic,551,5632.3,1871.5,6705,16063
Electronic Arts,552,5629,837,11000,35577.4
Zebra Technologies,553,5627,837,9800,21959.1
Coty,554,5616.2,-201.3,11430,7540.6
Schneider National,555,5608.7,405.4,17050,4551.6
Sonoco Products,556,5590.4,-85.5,20500,6099.1
Concentrix,557,5587,405.6,290000,8605.2
Evergy,558,5586.7,879.7,4930,15512.7
Cornerstone Building Brands,559,5583.1,665.9,21700,3088.7
Coca-Cola Consolidated,560,5562.7,189.6,15050,4657.3
Greif,561,5556.1,390.7,16000,3134
Vulcan Materials,562,5552.2,670.8,11912,24412.7
